0 18.006 100 4000
1 18.773 100 4000
1 19.534 100 4000
2 20.289 100 4000
2 21.039 100 4000
3 21.783 100 4000
3 22.521 100 4000
4 23.254 100 4000
4 23.981 100 4000
5 24.704 100 4000
5 25.42 100 4000
6 26.132 100 4000
6 26.838 100 4000
7 27.539 100 4000
7 28.234 100 4000
8 28.925 100 4000
8 29.61 100 4000
9 30.29 100 4000
9 30.965 100 4000
10 31.635 100 4000
10 32.3 100 4000
11 32.961 100 4000
11 33.616 100 4000
12 34.266 100 4000
12 34.912 100 4000
13 35.553 100 4000
13 36.188 100 4000
14 36.82 100 4000
14 37.446 100 4000
15 38.068 100 4000
15 38.685 100 4000
16 39.298 100 4000
16 39.906 100 4000
17 40.051 0 0
17 40.011 11 424
18 39.988 18 738
18 40.012 15 602
19 39.988 14 558
19 40.012 19 780
20 39.989 10 387
20 40.01 24 942
21 39.991 6 237
21 40.008 27 1075
22 39.993 3 123
22 40.005 29 1168
23 39.996 1 52
23 40.002 30 1215
24 40 1 31
24 39.999 30 1211
25 40.003 1 60
25 39.996 29 1158
26 40.006 3 135
26 39.993 27 1061
27 40.008 6 251
27 39.991 23 930
28 40.01 10 396
28 39.989 19 774
29 40.011 14 558
29 39.989 15 609
30 40.011 18 724
30 39.989 11 447
31 40.01 22 878
31 39.991 8 302
32 40.008 25 1009
32 39.993 5 187
33 40.006 28 1106
33 39.996 3 110
34 40.003 29 1162
34 39.999 2 78
35 40 29 1171
35 40.002 2 92
36 39.997 28 1134
36 40.005 4 150
37 39.994 26 1056
37 40.007 6 247
38 39.992 24 942
38 40.009 9 375
39 39.99 20 803
39 40.01 13 522
40 39.99 16 652
40 40.01 17 675
41 39.99 13 500
41 40.009 21 821
42 39.991 9 362
42 40.008 24 949
43 39.993 6 247
43 40.006 26 1048
44 39.995 4 166
44 40.003 28 1110
45 39.998 3 124
45 40.001 28 1130
46 40.001 3 126
46 39.998 28 1108
47 40.004 4 168
47 39.995 26 1046
48 40.006 6 249
48 39.993 24 949
49 40.008 9 360
49 39.992 21 826
50 40.009 12 492
50 39.991 17 689
51 40.009 16 632
51 39.991 14 548
52 40.009 19 770
52 39.992 10 415
53 40.008 22 894
53 39.993 8 303
54 40.006 25 993
54 39.995 5 219
55 40.004 27 1060
55 39.997 4 170
56 40.001 27 1090
56 40 4 160
57 39.999 27 1080
57 40.003 5 189
58 39.996 26 1032
58 40.005 6 255
59 39.994 24 951
59 40.007 9 350
60 39.992 21 843
